"title","subtitle","authors","categories","description","published_year","num_pages","average_rating","ratings_count","thumbnail","quantity"
"Rhymes of a Rolling Stone","","Robert W. Service","Poetry","""Rhymes of a Rolling Stone"" by Robert W. Service is a collection of poems written in the early 20th century. The work expresses themes of adventure, freedom, and the human experience, often reflecting a deep appreciation for nature and the simple joys of life. Service's style is marked by a robust and energetic tone, capturing the essence of wanderlust and the spirit of the outdoors. The opening of the collection introduces the poet's intent and philosophy. In the ""Prelude,"" Service declares that he writes not about idle dreams or romantic dalliance, but instead, he embraces an ""eager joy"" in the beauty of life and the call of adventure. The subsequent poem, ""A Rolling Stone,"" captures the speaker's longing for freedom and a carefree existence, emphasizing a connection to the natural world. Through lively imagery and rhythm, the reader is invited to join the poet's journey of exploration and discovery, revealing a love for both the wilderness and the camaraderie found in shared human experiences.",1958,208,4.8,1358,"https://www.gutenberg.org/cache/epub/309/pg309.cover.medium.jpg",2
"Before Adam","","Jack London","Adventure, American Literature, Novels","""Before Adam"" by Jack London is a fictional novel written in the early 20th century. The book explores themes of evolution and ancestral memory through the lens of a unique narrator who experiences vivid dreams of a prehistoric existence. The protagonist, referred to as Big-Tooth, recounts his childhood among primitive ancestors, facing fears and adventures that take place in the wild during the Mid-Pleistocene epoch. The opening of the novel introduces us to Big-Tooth, a child who grapples with nightmarish dreams filled with a profound sense of terror and longing for connection. He is different from his peers, as his dreams are populated by beings from a distant past, and he feels a strong disassociation between his waking life and his dream world. Through his memories, we meet other characters, such as his friend Lop-Ear and the ominous figure Red-Eye, whose violent presence contrasts with the camaraderie of the horde. Big-Tooth's narrative delves into his experiences of fear, discovery of nature, and the instinctual behaviors that define his existence, setting the stage for a deeper exploration of the primitive struggles of humanity.",1916,449,4.0,3223,"https://www.gutenberg.org/cache/epub/310/pg310.cover.medium.jpg",5
"Bunner Sisters","","Edith Wharton","American Literature, Novels, New York (N.Y.)","""Bunner Sisters"" by Edith Wharton is a novel written during the early 20th century. The story centers on the lives of two sisters, Ann Eliza and Evelina Bunner, who run a small, humble shop in New York City. Despite the modesty of their reality, the sisters cling to dreams and desires that often remain unfulfilled as they navigate their love lives, ambitions, and the societal expectations of their time. The opening of the novel introduces readers to the Bunner Sisters and their quaint yet deteriorating neighborhood in New York. As the sisters prepare for Evelina's birthday celebration, the mundane aspects of their lives come to light, revealing their limited financial means and their contentment with their simple existence. Ann Eliza's poignant interactions with Evelina reflect the tension between their reliance on one another and their individual longings. The narrative suggests a transformative presence in the form of Mr. Herman Ramy, whose connection with the sisters will likely complicate their lives further, hinting at themes of love, sacrifice, and the stark realities of their social status.",1937,375,4.4,761,"https://www.gutenberg.org/cache/epub/311/pg311.cover.medium.jpg",8
"Young Adventure","A Book of Poems","Stephen Vincent Benét","American Literature, Poetry, American Poetry","""Young Adventure: A Book of Poems"" by Stephen Vincent Benét is a poetry collection written in the early 20th century, specifically the 1910s. This collection encapsulates the themes of youth, adventure, and the corresponding emotions tied to coming-of-age experiences. Benét, an American poet known for his rich imagery and profound insights, presents verses that delve into the essence of youthful exploration and the vibrancy of life. The collection is composed of various poems, each offering a unique reflection on life's adventures, be it through the lens of romantic encounters, nostalgic moments in nature, or the struggles faced during a turbulent time in history. The poems range from the tense anticipation found in ""Before an Examination"" to the bittersweet reminiscences captured in ""Going Back to School."" Through vivid imagery and masterful language, Benét evokes the complexities of youth, the quest for identity, and the enduring power of memory. The work as a whole conveys a sense of wonder and longing, painting a tender yet poignant picture of what it means to embrace youth amidst the trials of life.",1943,489,4.3,2103,"https://www.gutenberg.org/cache/epub/312/pg312.cover.medium.jpg",5
"Children of the Night","","Edwin Arlington Robinson","American Literature, Poetry","""Children of the Night"" by Edwin Arlington Robinson is a poetry collection published in 1897. This second volume features poems that paint portraits of individuals and moments through Robinson's distinctive voice. Among its pages are works like ""Richard Cory"" and ""Luke Havergal,"" poems that would later gain recognition as masterpieces of American literature. The collection's initial quiet reception belied its enduring impact, eventually catching the attention of President Theodore Roosevelt himself.",1897,497,4.8,1780,"https://www.gutenberg.org/cache/epub/313/pg313.cover.medium.jpg",7
"Guide to Life and Literature of the Southwest, with a Few Observations","","J. Frank Dobie","Essays, Letters & Speeches, History - Other, Literature - Other","""Guide to Life and Literature of the Southwest"" by J. Frank Dobie is a comprehensive literary critique and cultural examination, published in the mid-20th century. This work serves as both a guide to the literature recalling the unique experiences and environments of the Southwest and a reflection on the region’s social history and diverse cultural influences. Dobie's writing emphasizes the necessity of understanding one's own cultural landscape while also advocating for broader literary appreciation beyond provincial confines. The opening of the book introduces readers to Dobie's personal reflections and teaching experiences regarding the ""Life and Literature of the Southwest."" He discusses the evolution of his thoughts since the initial publication of his guide a decade prior, suggesting that literature from the Southwest can often lack the depth of universal appeal. He critiques both the literary landscape and the tendency of readers to stick to subjects that echo their immediate surroundings, advocating instead for a broader, intellectual engagement with literature that transcends regional experiences. Through personal anecdotes and philosophical insights, Dobie establishes a framework for appreciating both the local culture and the broader human experience.",1964,204,4.6,1564,"https://www.gutenberg.org/cache/epub/314/pg314.cover.medium.jpg",2
"Rhymes of a Red Cross Man","","Robert W. Service","Bestsellers, American, 1895-1923, History - Warfare, Poetry","""Rhymes of a Red Cross Man"" by Robert W. Service is a collection of war poetry written during the early 20th century, amidst the backdrop of World War I. The poems reflect the harsh realities and profound emotions experienced by soldiers, capturing themes of courage, loss, camaraderie, and the futility of war. The author’s voice blends vivid imagery with poignant reflections, offering readers a lens into the experiences of military personnel and the human spirit under duress. The opening of the collection sets the tone for the poems to follow, as it introduces the author’s mission of finding solace in writing amidst the chaos of battle. Service shares his personal experiences alongside depictions of the war environment, revealing the grim conditions soldiers endured as they witnessed death and destruction. The first few poems highlight the call to arms, a reflection on the naive bravery of young soldiers, and the conflicting feelings about duty and sacrifice. Through these initial verses, readers engage with the emotional depth of the subject matter as they are drawn into the multifaceted lives of those impacted by the war, building a strong foundation for the themes explored throughout the entire work.",1958,194,4.6,1992,"https://www.gutenberg.org/cache/epub/315/pg315.cover.medium.jpg",8
"The Golden Road","","L. M. Montgomery","Canada, Children & Young Adult Reading, Novels","""The Golden Road"" by L. M. Montgomery is a novel published in 1913. Beverley recalls his childhood adventures with his brother, cousins, and friends as they played in their family orchard, created their own magazine, and navigated the joys of youth. As the children grow and mature, their close-knit group faces the bittersweet reality of change, with hints of romance, uncertain futures, and the inevitable end of childhood's golden days.",1913,563,4.2,1470,"https://www.gutenberg.org/cache/epub/316/pg316.cover.medium.jpg",6
"The Culprit Fay, and Other Poems","","Joseph Rodman Drake","American Literature, Poetry, American Poetry","""The Culprit Fay, and Other Poems by Joseph Rodman Drake"" is a collection of poems written in the early 19th century, during the Romantic era. The book features a variety of works, with a central focus on themes of nature, love, and the supernatural, embodying the essence of the literary movements of its time. Among its standout pieces is the narrative poem ""The Culprit Fay,"" which draws readers into a whimsical world of fairies and enchantment. In ""The Culprit Fay,"" the story revolves around a fairy who has broken the sacred laws of his realm by falling in love with a mortal woman. As a result, he is summoned to face judgment by the fairy court, where he learns of his punishment: he must embark on a quest to redeem himself by retrieving a magical drop from a sturgeon and igniting his flamewood lamp once again. The poem captures the struggle and adventure of the Fay, detailing his encounters with water sprites and his ultimate triumph. Other poems in the collection complement this narrative, exploring the beauty of nature, reflections on human emotion, and patriotic themes, all crafted with Drake's lyrical style and rich imagery.",1820,377,4.0,788,"https://www.gutenberg.org/cache/epub/317/pg317.cover.medium.jpg",9
"John Barleycorn","","Jack London","American Literature, Biographies, Drugs/Alcohol/Pharmacology","""John Barleycorn"" by Jack London is an autobiographical novel published in 1913. London chronicles his complex relationship with alcohol across different stages of his life, from his youth as a sailor to his success as a writer. The work explores themes of masculinity and male friendship while serving as both a meditation on alcohol's social role and a cautionary tale about addiction. London presents drinking's contradictory effects—claiming it aided his development as a man and writer, while acknowledging its destructive power and ultimate nihilism.",1913,352,4.7,2396,"https://www.gutenberg.org/cache/epub/318/pg318.cover.medium.jpg",2
"The Ways of Men","","Eliot Gregory","American Literature, Essays, Letters & Speeches, Humour","""The Ways of Men"" by Eliot Gregory is a collection of essays likely written in the early 20th century. The work explores the complexities of human behavior and society, touching on themes of patriotism, domestic life, and the quirks of modern civilization. The opening chapters introduce various characters and narratives, including the origins of the term ""Uncle Sam"" and a humorous critique of societal norms and contemporary life. At the start of this collection, Gregory discusses the roots of the figure of ""Uncle Sam,"" linking it to Samuel Wilson, a brickyard owner turned meatpacker's role as a patriotic figure during the War of 1812. This tale sets the tone for the author's exploration of American identity and the characteristics that define it. Following this, the narrative subtly transitions to satirical commentary on the domestic space, introducing the concept of ""domestic despots""—small, often ridiculous tyrants like pampered pets who disrupt the harmony of home life. Through various anecdotes and observations, the book delves into the absurdities of everyday life, social interactions, and the foibles of mankind, making it a reflective and entertaining read.",1915,187,4.8,1543,"https://www.gutenberg.org/cache/epub/319/pg319.cover.medium.jpg",2
"Vida De Lazarillo De Tormes Y De Sus Fortunas Y Adversidades","","Anonymous","6 Best Loved Spanish Literary Classics, Classics Of Literature, Novels","""Vida De Lazarillo De Tormes Y De Sus Fortunas Y Adversidades"" by Anonymous is a Spanish novel published in 1554. Written as a long letter, it tells the autobiographical story of Lázaro de Tormes, who recounts his life from miserable childhood through adulthood and marriage in sixteenth-century Spain. Serving various masters, Lázaro witnesses society's vices and hypocrisy, particularly among clergy and religious figures. This ironic portrait of Spanish society became a precursor to the picaresque novel genre.",1554,446,4.4,1568,"https://www.gutenberg.org/cache/epub/320/pg320.cover.medium.jpg",10
"Moran of the Lady Letty","","Frank Norris","Adventure, American Literature, Novels","""Moran of the Lady Letty"" by Frank Norris is a novel written during the late 19th century. The story begins with an intriguing mix of social events and adventure, detailing the life of Ross Wilbur, who finds himself unexpectedly drawn into a world of sailors, deception, and survival after he is shanghaied. The book explores themes of identity and transformation, particularly as Wilbur finds himself at the mercy of Captain Kitchell and the elusive Lady Letty, all while a complex relationship with the strong-willed Moran begins to form. The opening of the novel introduces the reader to the affluent society of San Francisco through the lens of Ross Wilbur, who attends a debutante tea in honor of Josie Herrick. However, his plans are interrupted when he finds himself lured into a dangerous encounter with a group of sailors. After being drugged and discovering himself on the deck of a schooner, the ""Bertha Millner,"" Wilbur learns that he has been shanghaied to sail on a fishing venture. The narrative intensifies as Wilbur navigates the rough seas and an even rougher crew, leading to encounters with the mysterious Moran, a girl with a fierce spirit and nautical proficiency. Themes of struggle and awakening take center stage as Wilbur grapples with his newfound reality, setting the stage for the unfolding adventure.",1902,143,4.8,1922,"https://www.gutenberg.org/cache/epub/321/pg321.cover.medium.jpg",8
"St. Ives","Being the Adventures of a French Prisoner in England","Robert Louis Stevenson","Adventure, British Literature, Historical Novels","""St. Ives: Being the Adventures of a French Prisoner in England"" by Robert Louis Stevenson is a novel written during the late 19th century. The story follows the experiences of the protagonist, Anne de Keroual de St. Yves, a French soldier who becomes a prisoner during the Napoleonic Wars. The narrative revolves around his life in an Edinburgh prison, where he navigates the complexities of captivity, interacts with fellow prisoners, and forms a budding romance with a young Englishwoman named Flora. The opening of ""St. Ives"" introduces the protagonist as he reflects on his situation after being captured and imprisoned. Through his observations of the other prisoners and life in the castle, he reveals a balance of humor and despair, highlighting the absurdity of his circumstances. His interactions with the English officers, his attempts to maintain a sense of dignity, and the camaraderie developed among the imprisoned soldiers shape his character. In particular, his infatuation with Flora, a young woman who visits the prison, becomes a central theme, illustrating the conflict between his noble birth and the humiliation of his current status. The beginning sets the stage for a tale of resilience, love, and the quest for identity amidst adversity.",1894,327,4.2,929,"https://www.gutenberg.org/cache/epub/322/pg322.cover.medium.jpg",8
"Verses 1889-1896","","Rudyard Kipling","British Literature, Poetry, Nobel Prizes In Literature","""Verses 1889-1896"" by Rudyard Kipling is a collection of poetry written during the late 19th century, comprising verses that reflect on the lives, experiences, and struggles of soldiers and civilians during the British Empire, particularly in India. The poems delve into themes of duty, bravery, and the harsh realities of military life, often highlighting the camaraderie and challenges faced by soldiers known colloquially as ""Tommy,"" along with their relationships with the local populations they encounter. The opening of this collection introduces several poems, showcasing Kipling's ability to fuse storytelling and verse. Notable pieces like ""Danny Deever,"" ""Tommy,"" and ""Gunga Din"" set the tone for the collection, presenting vivid narratives of soldiers grappling with emotions such as fear, honor, and nostalgia. Through a mix of dialect and formality, the first portion conveys a range of perspectives, from the gruff camaraderie of soldiers in barracks to reflections on sacrifice and loyalty amid the backdrop of imperial conflict. Overall, this beginning hints at Kipling's rich character portrayals and keen insights into the lives of those who served during that tumultuous period.",1889,158,4.5,2549,"https://www.gutenberg.org/cache/epub/323/pg323.cover.medium.jpg",10
"A Knight of the Cumberland","","John Fox, Jr.","Adventure, American Literature, Novels","""A Knight of the Cumberland"" by John Fox, Jr. is a novel written during the early 20th century that immerses readers in the rugged beauty and culture of the Cumberland Mountains. The narrative focuses on the adventures of the main characters as they venture into the wilds of these Appalachian hills, exploring themes of innocence, social dynamics, and the clash between different cultures. Central to the story is a captivating character known as ""the Blight,"" a young woman whose charm and grace captivate those around her, while her companions, including a narrator and a little sister, experience the intricacies of life in this isolated yet vibrant setting. At the start of the novel, we accompany the narrator, his sister, and the Blight as they traverse the rugged terrain of the Cumberland Mountains on a sunny October day. The journey is not just a physical one but also a passage into a world filled with colorful mountaineers, social tensions, and hints of feuds and moonshining. The narrator describes the Blight's enchanting presence, contrasting her sophistication with the ruggedness of the setting and the people they encounter. From moments of playful joy to encounters that reveal the darker side of hill life, the opening establishes a vivid backdrop where social class, charm, and danger intersect, setting the stage for the unfolding drama and adventures that lie ahead.",1919,124,4.8,2610,"https://www.gutenberg.org/cache/epub/324/pg324.cover.medium.jpg",7
"Phantastes","A Faerie Romance for Men and Women","George MacDonald","British Literature, Classics Of Literature, Novels","""Phantastes: A Faerie Romance for Men and Women"" by George MacDonald is a fantasy novel published in 1858. When young Anodos discovers a fairy in his inherited desk, his bedroom transforms into an enchanted forest. He enters a dreamlike Fairy Land where he pursues an elusive Marble Lady through forests, palaces, and subterranean worlds. Haunted by an evil shadow and facing giants, monsters, and temptations, Anodos must journey through adventures that will transform his understanding of ideals, sacrifice, and beauty.",1858,407,4.2,2647,"https://www.gutenberg.org/cache/epub/325/pg325.cover.medium.jpg",3
"Steep Trails","","John Muir","Essays, Letters & Speeches, Nature/Gardening/Animals, Travel Writing","""Steep Trails"" by John Muir is a collection of essays that captures the author's personal experiences and observations of the natural world, likely written in the late 19th century. This work highlights Muir's deep appreciation for the wilderness, showcasing his adventures across various western landscapes such as California, Utah, Nevada, and the Grand Canyon, while reflecting on the beauty and challenges of nature. The opening of ""Steep Trails"" introduces Muir's thoughts on the significance of nature and wildness, contrasting it with human culture and cultivation. He recounts his examination of wild sheep and their superior wool, using this observation as a metaphor for the broader idea that nature’s creations exist for their own purposes rather than for human use. Muir critiques humanity's tendency to impose cultivation onto nature, arguing that true beauty and utility lie in wildness. Through rich descriptions and philosophical musings, Muir paints a vivid picture of his interactions with the natural landscape, establishing a foundation for the themes of exploration and reverence for the wilderness that permeate the rest of the collection.",1914,140,4.1,1467,"https://www.gutenberg.org/cache/epub/326/pg326.cover.medium.jpg",8
"The Princess Aline","","Richard Harding Davis","Bestsellers, American, 1895-1923, British Literature, Novels","""The Princess Aline"" by Richard Harding Davis is a novelette published in 1895. A young, wealthy American artist becomes captivated by a photograph of a European princess and embarks on a transatlantic voyage to meet her. Accompanied by companions encountered during his journey, he pursues this romantic obsession across Europe. The story blends travel narrative with whimsical romance, exploring the boundaries between social classes and the possibilities—or impossibilities—of love between a commoner and royalty. Davis's tale became the fifth-best selling novel in America that year.",1895,480,4.3,2534,"https://www.gutenberg.org/cache/epub/327/pg327.cover.medium.jpg",9
"A Heap o' Livin'","","Edgar A. Guest","American Literature, Poetry","""A Heap o' Livin'"" by Edgar A. Guest is a collection of poems written during the early 20th century. This work paints a heartfelt portrayal of everyday life and the trials and joys of ordinary people, emphasizing themes of home, friendship, and the simple pleasures of existence. The collection resonates with a sense of nostalgia and warmth, capturing the essence of familial relationships and the beauty of life's fleeting moments. The opening of ""A Heap o' Livin'"" introduces readers to a series of touching poems that explore various aspects of life and human connection. The first piece reflects on the importance of understanding others, encouraging empathy and shedding prejudice as one learns the intricacies of another's life. The subsequent poems delve into childhood innocence, the joys of familial love, and the comforts found in home and relationships. Guest's accessible language and rhythmic style convey a deep appreciation for life’s simple joys and the significance of compassion, laying a foundation for the emotional journey that unfolds throughout the collection.",1959,385,4.6,1155,"https://www.gutenberg.org/cache/epub/328/pg328.cover.medium.jpg",4
"Island Nights' Entertainments","","Robert Louis Stevenson","British Literature, Short Stories, Islands Of The Pacific","""Island Nights' Entertainments"" by Robert Louis Stevenson is a collection of stories written in the late 19th century. The opening tale, ""The Beach of Falesá,"" introduces the character John Wiltshire, who arrives on the island of Falesá after spending years living among the natives of a nearby low island. The story immediately immerses readers in the vibrant yet challenging life of a trader in the South Pacific, where Wiltshire seeks to establish himself amidst the complexities of trade, local customs, and interpersonal relationships. The opening of ""The Beach of Falesá"" sets the stage with Wiltshire's arrival, showcasing his first impressions of the island and its inhabitants. He feels a mix of excitement and unease as he interacts with the local traders and contemplates his new life. The story conveys a sense of foreboding as he learns about the complexities of island life and the shadowy figures like Case, who manipulate the landscape for their gain. Wiltshire's initial enthusiasm leads him to consider settling down with a local woman named Uma, reflecting both the allure and the potential pitfalls of his romantic interest in her. The narrative introduces themes of isolation, cultural clashes, and the search for belonging, while hinting at conflicts that may arise as Wiltshire navigates his new world.",1894,319,4.5,3252,"https://www.gutenberg.org/cache/epub/329/pg329.cover.medium.jpg",8
"Where There's a Will","","Mary Roberts Rinehart","American Literature, Humour, Novels","""Where There's a Will"" by Mary Roberts Rinehart is a novel written in the early 20th century. The book revolves around the lives and relationships of the staff and guests at Hope Springs Sanatorium, particularly focusing on the spirited spring-house girl named Minnie Waters as she navigates intrigue, duty, and the unexpected arrival of a new owner. The opening of the story introduces us to Minnie as she reflects on her life at Hope Springs, where she has dedicated fourteen years to serving guests and tending to their needs. Following the death of the old doctor who managed the sanatorium, Minnie grapples with her responsibilities and the future of the place she considers home. Key players like Miss Patty Jennings, a frequent guest entangled in royal romance, and Mr. Richard Carter, the doctor's grandson who is expected to take charge of the establishment, begin to emerge. As excitement builds around new developments—including Miss Patty's engagement and intriguing secrets in the air—the stage is set for a mix of drama and humor, showcasing Minnie's bold personality and her connections to the unfolding storylines.",1958,473,4.6,3049,"https://www.gutenberg.org/cache/epub/330/pg330.cover.medium.jpg",6
"The Mucker","","Edgar Rice Burroughs","Adventure, American Literature, Crime, Thrillers And Mystery","""The Mucker"" by Edgar Rice Burroughs is a novel published in 1914-1916. Billy Byrne is a Chicago thug who lives by violence and theft until he's shanghaed aboard a ship bound for crime. When the crew kidnaps a millionaire's daughter, Billy's brutal nature begins to transform. Stranded together in a hostile jungle filled with headhunters, the hoodlum and the heiress form an unlikely bond that challenges everything Billy believed about himself and the world he came from.",1914,460,4.3,3248,"https://www.gutenberg.org/cache/epub/331/pg331.cover.medium.jpg",3
"The Burial of the Guns","","Thomas Nelson Page","American Literature, Historical Novels, Novels","""The Burial of the Guns"" by Thomas Nelson Page is a historical fiction novel likely written in the late 19th century. It delves into the aftermath of the Civil War, focusing on the emotional and social ramifications of surrender and the transition back to civilian life, particularly through the experiences of Southern soldiers and their commanders. The opening introduces readers to complex characters, such as the old Colonel and his battery of soldiers, who grapple with pride, duty, and the loss of their former identities as they face the end of the war. At the start of the narrative, the story revolves around the old Colonel and his battery stationed at a crucial mountain pass after the war's conclusion. As soldiers adjust to the fact that General Lee has surrendered at Appomattox, the Colonel's leadership is put to the test. He faces the painful decision of preventing their guns from being captured, reflecting on the bonds formed between the men throughout the war. The opening conveys this sense of duty and camaraderie as the Colonel prepares to bury the guns to preserve their legacy, while the soldiers express their sorrow at their collective fate and their commitment to uphold the values they fought for within the new landscape of their post-war life.",1922,273,4.2,1116,"https://www.gutenberg.org/cache/epub/332/pg332.cover.medium.jpg",3
"Robert Louis Stevenson","","Sir Walter Alexander Raleigh","Biographies, Essays, Letters & Speeches, Authors, Scottish","""Robert Louis Stevenson"" by Sir Walter Alexander Raleigh is a biographical essay written in the early 20th century. This examination highlights the life and works of Robert Louis Stevenson, a prominent author renowned for his imaginative storytelling and literary mastery. The book serves as both a tribute and analysis of Stevenson’s contributions to literature, emphasizing his unique talent and enduring legacy. In this insightful piece, Raleigh delves into Stevenson's life, discussing his health struggles while celebrating his literary genius and prolific output. He reflects on Stevenson's ability to blend romance with meticulous style, showcasing his works like ""Treasure Island"" and ""Dr. Jekyll and Mr. Hyde"" as central to his acclaim. Raleigh emphasizes Stevenson's zest for life, creativity, and ability to evoke emotions through rich language, while also considering the impact of his early death on the literary world. The essay reveals both the man behind the pen and the rich tapestry of thoughts and themes woven into his body of work, reinforcing Stevenson’s place in literary history.",1922,484,4.7,985,"https://www.gutenberg.org/cache/epub/333/pg333.cover.medium.jpg",5
"Episodes in Van Bibber's Life","","Richard Harding Davis","American Literature, Humour, Short Stories","""Episodes in Van Bibber's Life"" by Richard Harding Davis is a collection of short stories written in the early 20th century. The book revolves around the character of Young Van Bibber, a charming and somewhat whimsical figure who finds himself in various humorous and poignant situations that reveal insights into human nature and society. The stories blend comedy with deeper reflections, often exploring themes of friendship, compassion, and social critique. The narrative takes readers through a series of episodes in Van Bibber’s life, showcasing his interactions with a colorful cast of characters. In one story, he navigates the chaotic atmosphere behind the scenes of a comic opera, forging a bond with a young girl performer, revealing both the innocence of childhood and the darker undercurrents of the theatrical world. In another episode, he humorously attempts to prove his bravery and cleverness by searching for a missing dog, only to find himself in a series of amusing predicaments. Through these engaging tales, Davis paints a vivid picture of life in his time, with Van Bibber serving as a relatable and often endearing protagonist who navigates both trivial pursuits and weighty moral dilemmas.",1916,162,4.7,1440,"https://www.gutenberg.org/cache/epub/334/pg334.cover.medium.jpg",7
"Frances Waldeaux","A Novel","Rebecca Harding Davis","American Literature, Novels, Voyages And Travels","""Frances Waldeaux: A Novel"" by Rebecca Harding Davis is a fictional narrative likely written in the late 19th century. The story centers around Frances Waldeaux, a widowed mother embarking on a journey to Europe with her son, George, eager to explore new horizons. The opening chapters introduce the emotional complexity of their relationship, set against the backdrop of their departure aboard a ship where various characters converge, revealing themes of family dynamics and societal expectations. The opening of the novel presents a vivid scene at the Hoboken pier as Frances and George prepare to depart for Europe. Amidst the farewell festivities, the story captures a sense of anticipation and nostalgia. Through the interactions between Frances, who carries an air of youthful exuberance despite her age, and her son, who is burdened by his academic pursuits and impending responsibilities, readers glimpse the depth of their bond. As the ship sets sail, underlying tensions surface relating to George’s education and his choices, including his burgeoning interest in a mysterious female passenger, which foreshadows complications that may arise from his new life. Ultimately, the narrative sets the stage for exploration not only of Europe but of Frances’s quest for her own identity independent of her son.",1910,251,4.2,3214,"https://www.gutenberg.org/cache/epub/335/pg335.cover.medium.jpg",9
"Indian Heroes and Great Chieftains","","Charles A. Eastman","Biographies, History - American, Native America","""Indian Heroes and Great Chieftains"" by Charles A. Eastman is a historical account written in the late 19th century. The book focuses on the lives and stories of influential Sioux leaders and warriors, such as Red Cloud, Crazy Horse, and Sitting Bull, highlighting their character, struggles, and significance within Native American history. Eastman, himself a member of the Sioux, aims to shed light on these figures who were often misunderstood or misrepresented in American history, providing them the justice and recognition they deserve. The opening of the book introduces key historical figures starting with Red Cloud, depicting his early life, upbringing, and transformation into a revered leader amidst turbulent times for the Sioux. Read Cloud’s character is marked by resilience, bravery, and a commitment to his people's way of life, revealing anecdotes that illustrate his dedication to leadership and his people. The narrative sets a stage that reflects the broader context of the Sioux's struggle against encroachment by settlers and the U.S. government, emphasizing themes of honor, cultural pride, and the vital importance of tribal unity in the face of adversity.",1939,520,4.6,732,"https://www.gutenberg.org/cache/epub/336/pg336.cover.medium.jpg",5
"Indian Boyhood","","Charles A. Eastman","Archaeology & Anthropology, Biographies, Parenthood & Family Relations","""Indian Boyhood"" by Charles A. Eastman is a memoir exploring the author’s childhood experiences as a Dakota Sioux boy, likely written in the early 20th century. The book delves into Eastman's early life, cultural traditions, and the upbringing he received from his family, particularly from his grandmother, in a society that is in a constant struggle with the encroachment of Western civilization. The opening of the memoir provides a vivid and personal account of Eastman's infancy and early childhood, establishing the backdrop of his upbringing in a Sioux community. He introduces himself through the name ""Hakadah,"" meaning ""the pitiful last,"" given to him after the death of his mother. The narrative features the love and care he received from his grandmother, who played a substantial role in his education and cultural transmission. It also describes elements of Sioux life, including hunting, games, and the strong connections to nature that were integral parts of his formative experiences. As Eastman recounts these formative events and lessons from his early years, he highlights the values instilled in him, such as bravery, observation skills, and respect for nature and family traditions, effectively setting the stage for a deeper exploration of his identity and heritage throughout the memoir.",1939,405,4.6,1564,"https://www.gutenberg.org/cache/epub/337/pg337.cover.medium.jpg",4
"Old Indian Legends","","Zitkala-Sa","Mythology, Legends & Folklore, Short Stories, Native America","""Old Indian Legends"" by Zitkala-Sa is a collection of Sioux stories published in 1901. Concerned about assimilation's impact on tribal children, the Yankton Dakota writer sought to preserve her people's traditional tales. The collection features fourteen legends, including five stories about Iktomi, an unlucky trickster spider fairy whose schemes repeatedly backfire. Through encounters with ducks, muskrats, coyotes, and other creatures, Iktomi's cunning plans consistently unravel, offering timeless lessons about greed, impatience, and the consequences of breaking promises.",1901,120,4.2,3467,"https://www.gutenberg.org/cache/epub/338/pg338.cover.medium.jpg",6
"Old Indian Days","","Charles A. Eastman","Adventure, Short Stories, Native America","""Old Indian Days"" by Charles A. Eastman is a collection of short stories reflecting the life and experiences of Native Americans, particularly the Sioux, written during the late 19th century. The stories convey themes of courage, tradition, and the complexities of love within the cultural context of the Sioux people, presenting tales of both warriors and women, highlighting their struggles and triumphs. The opening portion of the book introduces the main character, Antelope, a young Sioux warrior who seeks honor and distinction amongst his people. As he prepares for a scouting mission, his ambitions are juxtaposed with his feelings for Taluta, a beautiful maiden of his tribe. The narrative follows Antelope as he faces challenges in the wilderness, engages in battles, and experiences personal growth fueled by his love for Taluta. The stories blend adventure and emotion, setting the stage for a deeper exploration of Antelope's character and the cultural values of the Sioux people.",1939,226,4.6,3120,"https://www.gutenberg.org/cache/epub/339/pg339.cover.medium.jpg",7
"The Soul of the Indian","An Interpretation","Charles A. Eastman","Essays, Letters & Speeches, History - American, Religion/Spirituality","""The Soul of the Indian: An Interpretation"" by Charles A. Eastman is a profound exploration of the spiritual and cultural life of the American Indian, crafted during the early 20th century. This non-fiction work serves as an essay reflecting on the indigenous beliefs, traditions, and values that characterized American Indian spirituality before significant European influence. Eastman, a member of the Sioux tribe, utilizes his personal experiences and insights to provide an authentic representation of the inner life of the Indian people, highlighting their moral codes, religious practices, and connection to nature. In this book, Eastman delves into various aspects of Native American spirituality, emphasizing the concept of the ""Great Mystery"" that surrounds existence. He discusses practices such as solitary worship and the significance of nature, rejecting the notion of organized religion imposed by European settlers. The text also addresses moral codes, the family unit, and community dynamics, illustrating how these elements shape the Indian worldview. Throughout, Eastman reflects on the clash between indigenous beliefs and Western ideologies, advocating for a greater understanding and respect for Native American traditions as vital components of the human experience.",1939,376,4.7,1629,"https://www.gutenberg.org/cache/epub/340/pg340.cover.medium.jpg",8
